location,date,t2m,t2m_max,t2m_min,rh2m,prcp
albisgütli,2025-02-25,7.83,9.4,6,90.82,NA
albisgütli,2025-02-26,4.72,6.6,2.3,81.58,NA
albisgütli,2025-02-27,3.17,5.3,1.7,90.51,NA
albisgütli,2025-02-28,3.3,6.2,0.1,81.13,NA
albisgütli,2025-03-01,3.21,7.2,1.1,78.75,NA
albisgütli,2025-03-02,2.78,8.2,-0.3,81.4,NA
albisgütli,2025-03-03,1.6,5.4,-1.1,90.73,NA
albisgütli,2025-03-04,2.7,7.5,-1.3,88.94,NA
albisgütli,2025-03-05,4.08,11.4,-0.6,93.06,NA
albisgütli,2025-03-06,4.44,11.5,-0.2,95.98,NA
albisgütli,2025-03-07,5.36,12.3,1.3,97.82,NA
albisgütli,2025-03-08,8.85,15.4,2.1,70.72,NA
albisgütli,2025-03-09,10.2,16.4,5.1,73.28,NA
albisgütli,2025-03-10,10.83,16.9,5.8,76.06,NA
albisgütli,2025-03-11,10.99,17.1,6.2,78.84,NA
albisgütli,2025-03-12,10.63,16.3,6,82.83,NA
binningen,2025-02-25,8.69,12.3,7.4,88.85,NA
binningen,2025-02-26,5.98,8.5,2.2,78.48,NA
binningen,2025-02-27,4.8,9.1,1.3,86.92,NA
binningen,2025-02-28,3.7,6.5,0.1,86.38,NA
binningen,2025-03-01,3.3,8.3,0.5,85.35,NA
binningen,2025-03-02,2.33,8.6,-1.4,91.04,NA
binningen,2025-03-03,2.66,8,-1.2,92.75,NA
binningen,2025-03-04,3.23,8.9,-0.8,90.78,NA
binningen,2025-03-05,5.41,13.4,-0.7,88.22,NA
binningen,2025-03-06,6.62,14.7,1.6,89.74,NA
binningen,2025-03-07,7.09,15.5,1.4,88.44,NA
binningen,2025-03-08,9.08,15.9,2.1,75.07,NA
binningen,2025-03-09,10.43,16.6,5.8,79.74,NA
binningen,2025-03-10,10.74,17.1,6,86.06,NA
binningen,2025-03-11,10.35,15.3,6.4,88.98,NA
binningen,2025-03-12,9.89,15.2,5.9,89.52,NA
fukuoka,2025-02-25,5.94,10.4,1.8,65.83,NA
fukuoka,2025-02-26,8.71,10,7.4,68.47,NA
fukuoka,2025-02-27,8.08,10.6,4.3,68.03,NA
fukuoka,2025-02-28,10.1,12.3,7.7,93.87,NA
fukuoka,2025-03-01,12.65,16.6,8.8,96.47,NA
fukuoka,2025-03-02,16.53,18.5,13.6,97.01,NA
fukuoka,2025-03-03,11.13,13.2,8.2,100.69,NA
fukuoka,2025-03-04,8.39,9.1,7.8,90.87,NA
fukuoka,2025-03-05,9.05,10.2,8.1,77.94,NA
fukuoka,2025-03-06,7.72,8.8,6.4,69.15,NA
fukuoka,2025-03-07,7,9.3,5,69.37,NA
fukuoka,2025-03-08,6.74,11.4,2.8,64.62,NA
fukuoka,2025-03-09,8.47,12.6,4.6,62.82,NA
fukuoka,2025-03-10,9.05,13,5.7,57.93,NA
fukuoka,2025-03-11,10.25,15.6,5.5,45.95,NA
fukuoka,2025-03-12,11.68,16.3,7.8,52.23,NA
kyoto,2025-02-25,3.21,8.8,-1.5,72.96,NA
kyoto,2025-02-26,5.85,10.6,1.7,69.87,NA
kyoto,2025-02-27,6.1,12.8,0.5,69.46,NA
kyoto,2025-02-28,7.26,11.6,3.8,85.39,NA
kyoto,2025-03-01,10.15,16.9,5.4,88.76,NA
kyoto,2025-03-02,11.76,14.3,9.6,102.8,NA
kyoto,2025-03-03,6.19,9.6,3.8,96.03,NA
kyoto,2025-03-04,7.22,9.6,3.5,86.38,NA
kyoto,2025-03-05,9.29,10.4,7.1,86.47,NA
kyoto,2025-03-06,6.54,9.3,4.3,71.62,NA
kyoto,2025-03-07,5.7,9.4,2.8,63.4,NA
kyoto,2025-03-08,4.9,8.9,0.2,59.95,NA
kyoto,2025-03-09,8.01,13.3,3.5,57.03,NA
kyoto,2025-03-10,8.46,13.4,5.2,53.98,NA
kyoto,2025-03-11,7.56,11.7,4,50.3,NA
kyoto,2025-03-12,10.22,17.2,4.6,55.78,NA
laufenburg,2025-02-25,7.58,10.6,6.1,97.91,NA
laufenburg,2025-02-26,5.26,6.9,1.4,86.65,NA
laufenburg,2025-02-27,3.52,8.2,-0.7,93.2,NA
laufenburg,2025-02-28,3.09,6.5,0.2,88.35,NA
laufenburg,2025-03-01,3.6,7.5,-0.1,74.98,NA
laufenburg,2025-03-02,4.2,9,0.5,73.59,NA
laufenburg,2025-03-03,2.88,7.7,-0.9,88.58,NA
laufenburg,2025-03-04,3.86,10,-0.8,84,NA
laufenburg,2025-03-05,4.82,12,-0.2,90.73,NA
laufenburg,2025-03-06,4.2,12.5,-1.4,98.67,NA
laufenburg,2025-03-07,4.77,12.9,-0.1,100.33,NA
laufenburg,2025-03-08,8.51,16.4,2.7,80.1,NA
laufenburg,2025-03-09,9.62,16.7,4.2,83.28,NA
laufenburg,2025-03-10,10.42,17.6,4.9,84.54,NA
laufenburg,2025-03-11,10.66,17.5,5.4,86.78,NA
laufenburg,2025-03-12,10.64,17.4,5.6,87.77,NA
liestal,2025-02-25,7.9,11.6,5.8,91.72,NA
liestal,2025-02-26,5.32,8,-0.4,81.53,NA
liestal,2025-02-27,3.48,8.2,-1.2,91,NA
liestal,2025-02-28,2.38,5.7,-0.5,90.73,NA
liestal,2025-03-01,2.67,7.1,-1.5,82.74,NA
liestal,2025-03-02,3.12,8.8,-1.5,81.08,NA
liestal,2025-03-03,3.05,8,-1.3,84.18,NA
liestal,2025-03-04,3.64,9.5,-0.6,85.21,NA
liestal,2025-03-05,5.21,12.9,-1.2,87.81,NA
liestal,2025-03-06,6.08,13.7,1.8,92.84,NA
liestal,2025-03-07,6.75,14.7,1.5,91.09,NA
liestal,2025-03-08,8.6,15.3,2,75.07,NA
liestal,2025-03-09,9.83,15.9,5,79.69,NA
liestal,2025-03-10,10.56,17.3,5.4,83.19,NA
liestal,2025-03-11,10.13,15.5,5.9,86.96,NA
liestal,2025-03-12,9.72,14.9,5.4,89.25,NA
meteoschweiz,2025-02-25,6.86,8.7,4.8,93.87,NA
meteoschweiz,2025-02-26,4.05,5.9,1.8,84.81,NA
meteoschweiz,2025-02-27,2.46,4.6,0.9,94.19,NA
meteoschweiz,2025-02-28,2.41,5.3,-1.1,86.11,NA
meteoschweiz,2025-03-01,2.4,6.8,0.3,81.22,NA
meteoschweiz,2025-03-02,2.15,7.4,-1,82.88,NA
meteoschweiz,2025-03-03,1.2,5.1,-1.5,91.58,NA
meteoschweiz,2025-03-04,2.21,7.2,-1.6,91.45,NA
meteoschweiz,2025-03-05,3.6,10.9,-1.3,94.46,NA
meteoschweiz,2025-03-06,3.94,11,-0.7,95.98,NA
meteoschweiz,2025-03-07,4.86,11.8,0.8,97.82,NA
meteoschweiz,2025-03-08,8.35,14.9,1.6,70.72,NA
meteoschweiz,2025-03-09,9.7,15.9,4.6,73.28,NA
meteoschweiz,2025-03-10,10.33,16.4,5.3,76.06,NA
meteoschweiz,2025-03-11,10.49,16.6,5.7,78.84,NA
meteoschweiz,2025-03-12,10.13,15.8,5.5,82.83,NA
newyorkcity,2025-02-25,8.77,13,4,51.33,NA
newyorkcity,2025-02-26,9.45,14.2,4.8,55.24,NA
newyorkcity,2025-02-27,9.61,12.6,6.7,69.96,NA
newyorkcity,2025-02-28,7.42,10.4,5,46.53,NA
newyorkcity,2025-03-01,6,14,-4.7,50.75,NA
newyorkcity,2025-03-02,-4.16,-0.2,-8.5,37.2,NA
newyorkcity,2025-03-03,-1.13,3.1,-4.6,36.62,NA
newyorkcity,2025-03-04,3.68,7.1,0.1,61.07,NA
newyorkcity,2025-03-05,8.5,10.6,6.2,100.74,NA
newyorkcity,2025-03-06,9.35,11.7,4.8,68.56,NA
newyorkcity,2025-03-07,5.47,9.9,1.5,43.03,NA
newyorkcity,2025-03-08,5.73,7.3,3.5,92.39,NA
newyorkcity,2025-03-09,2.06,4.9,-2.9,51.6,NA
newyorkcity,2025-03-10,-3.29,-1.1,-4.9,38.5,NA
newyorkcity,2025-03-11,-0.91,3.2,-4.5,54.03,NA
newyorkcity,2025-03-12,8.82,13.1,3.3,93.96,NA
newyorkcity,NA,3.8,NA,NA,73.23,NA
vancouver,2025-02-25,7.85,9.9,6.5,97.96,NA
vancouver,2025-02-26,8.45,12.7,5.9,91.76,NA
vancouver,2025-02-27,8.98,14.1,6.6,84.54,NA
vancouver,2025-02-28,8.65,11.7,6.1,90.55,NA
vancouver,2025-03-01,8.16,12.1,4.9,88.35,NA
vancouver,2025-03-02,8.21,10.3,7.1,95.08,NA
vancouver,2025-03-03,7.6,9.2,6.2,92.26,NA
vancouver,2025-03-04,7.27,9.6,6,84.58,NA
vancouver,2025-03-05,7,9.1,5.5,88.17,NA
vancouver,2025-03-06,5.98,7.9,4.9,86.38,NA
vancouver,2025-03-07,5.89,8.8,4.5,94.46,NA
vancouver,2025-03-08,6.96,8.2,5.8,101.41,NA
vancouver,2025-03-09,5.27,5.8,4.6,99.5,NA
vancouver,2025-03-10,5.8,7,4.4,84.85,NA
vancouver,2025-03-11,5.61,7.9,3.6,81.94,NA
vancouver,2025-03-12,3.58,5,2.2,96.21,NA
vancouver,NA,5.7,NA,NA,101.23,NA
washingtondc,2025-02-25,10.51,19.1,2.6,52.41,NA
washingtondc,2025-02-26,11.34,19.2,3,57.79,NA
washingtondc,2025-02-27,12.32,17.8,8,58.2,NA
washingtondc,2025-02-28,9.57,13.2,7.4,40.47,NA
washingtondc,2025-03-01,7.39,14.9,-2,41.55,NA
washingtondc,2025-03-02,-0.97,5.1,-6.4,35.49,NA
washingtondc,2025-03-03,3.32,7.9,-0.3,33.97,NA
washingtondc,2025-03-04,5.3,9.2,1.3,68.65,NA
washingtondc,2025-03-05,14.48,16.6,10.3,93.65,NA
washingtondc,2025-03-06,8.57,13.1,4.1,60.26,NA
washingtondc,2025-03-07,6.49,11.1,1.8,45.86,NA
washingtondc,2025-03-08,9.24,16.5,5.1,73.19,NA
washingtondc,2025-03-09,3.49,7.3,0.1,58.86,NA
washingtondc,2025-03-10,0.59,3.8,-2.2,42.45,NA
washingtondc,2025-03-11,6.06,14.7,-0.8,55.42,NA
washingtondc,2025-03-12,16.5,23.6,9.3,71.57,NA
washingtondc,NA,3.8,NA,NA,62.46,NA
witikon,2025-02-25,7.24,8.6,5.4,93.06,NA
witikon,2025-02-26,3.64,5.4,1.9,88.44,NA
witikon,2025-02-27,2.45,4,1.1,94.99,NA
witikon,2025-02-28,2.56,4.9,0.2,85.35,NA
witikon,2025-03-01,2.11,6.3,0.1,85.21,NA
witikon,2025-03-02,1.8,6.9,-1.4,87.41,NA
witikon,2025-03-03,1.54,5.3,-1,92.71,NA
witikon,2025-03-04,2.6,7,-0.9,92.03,NA
witikon,2025-03-05,4,10.7,-0.6,92.12,NA
witikon,2025-03-06,3.69,10.8,-0.9,95.98,NA
witikon,2025-03-07,4.6,11.5,0.6,97.82,NA
witikon,2025-03-08,8.08,14.7,1.3,70.72,NA
witikon,2025-03-09,9.42,15.6,4.3,73.28,NA
witikon,2025-03-10,10.07,16.2,5.1,76.06,NA
witikon,2025-03-11,10.21,16.4,5.4,78.84,NA
witikon,2025-03-12,9.86,15.6,5.2,82.83,NA
